Set	Species	Type	Period_adaptation	Absolute_heading_degrees	Relative_heading_degrees
2017	pumila	1_bar	day_light	240	30
2017	pumila	1_bar	day_light	0	270
2017	pumila	1_bar	day_light	315	315
2017	pumila	1_bar	day_light	190	215
2017	pumila	1_bar	day_light	135	90
2017	pumila	1_bar	day_light	220	5
2017	pumila	1_bar	day_light	300	200
2017	pumila	1_bar	day_light	135	225
2017	pumila	1_bar	day_light	320	355
2017	pumila	1_bar	day_light	DNF	DNF
2017	pumila	1_bar	day_light	300	105
2017	pumila	1_bar	day_light	185	355
2017	pumila	1_bar	day_light	60	210
2017	pumila	1_bar	day_light	260	100
2017	pumila	1_bar	day_light	15	75
2017	pumila	1_bar	day_light	15	165
2017	pumila	1_bar	day_light	15	210
2017	pumila	1_bar	day_light	100	215
2017	pumila	1_bar	day_light	310	270
2017	pumila	1_bar	day_light	275	220
2017	pumila	1_bar	day_light	125	100
2017	pumila	1_bar	day_light	150	210
2017	pumila	1_bar	day_light	315	105
2017	pumila	1_bar	day_light	190	80
2017	pumila	1_bar	day_light	330	120
2017	pumila	1_bar	day_light	50	350
2017	pumila	1_bar	day_light	90	150
2017	pumila	1_bar	day_light	240	280
2017	pumila	1_bar	day_light	15	55
2017	pumila	1_bar	day_light	270	0
2017	pumila	1_bar	day_light	135	225
2017	pumila	1_bar	day_light	180	225
2017	pumila	1_bar	day_light	285	305
2017	pumila	1_bar	day_light	340	260
2017	pumila	1_bar	day_light	45	90
2017	pumila	1_bar	day_light	170	190
2017	pumila	1_bar	day_light	85	335
2017	pumila	1_bar	day_light	200	160
2017	pumila	1_bar	day_light	230	355
2017	pumila	1_bar	day_light	160	30
2017	pumila	1_bar	day_light	145	350
2017	wendtii	1_bar	day_light	180	0
2017	wendtii	1_bar	day_light	170	190
2017	wendtii	1_bar	day_light	125	355
2017	wendtii	1_bar	day_light	270	320
2017	wendtii	1_bar	day_light	240	70
2017	wendtii	1_bar	day_light	10	170
2017	wendtii	1_bar	day_light	345	15
2017	wendtii	1_bar	day_light	170	235
2017	wendtii	1_bar	day_light	315	350
2017	wendtii	1_bar	day_light	250	190
2017	wendtii	1_bar	day_light	170	10
2017	wendtii	1_bar	day_light	165	15
2017	wendtii	1_bar	day_light	210	330
