Species	Pigment_gone	Photoreceptor_cell	Image_number	Direction	Angle
Wendtii	No	Wendtii_pigment_1	0	Left	10.6
Wendtii	No	Wendtii_pigment_1	10	Left	39.61
Wendtii	No	Wendtii_pigment_1	20	Left	42
Wendtii	No	Wendtii_pigment_1	30	Left	21.4
Wendtii	No	Wendtii_pigment_1	40	Left	25.35
Wendtii	No	Wendtii_pigment_1	50	Left	45.2
Wendtii	No	Wendtii_pigment_1	60	Left	42.34
Wendtii	No	Wendtii_pigment_1	70	Left	54.1
Wendtii	No	Wendtii_pigment_1	80	Left	54.49
Wendtii	No	Wendtii_pigment_1	90	Left	60.99
Wendtii	No	Wendtii_pigment_1	100	Left	60.42
Wendtii	No	Wendtii_pigment_1	110	Left	62.11
Wendtii	No	Wendtii_pigment_1	120	Left	65.8
Wendtii	No	Wendtii_pigment_1	130	Left	71.69
Wendtii	No	Wendtii_pigment_1	140	Left	71.57
Wendtii	No	Wendtii_pigment_1	150	Left	72.3
Wendtii	No	Wendtii_pigment_1	160	Left	78.6
Wendtii	No	Wendtii_pigment_1	170	Left	77.8
Wendtii	No	Wendtii_pigment_2	0	Left	41.23
Wendtii	No	Wendtii_pigment_2	10	Left	42.19
Wendtii	No	Wendtii_pigment_2	20	Left	44.28
Wendtii	No	Wendtii_pigment_2	30	Left	32.99
Wendtii	No	Wendtii_pigment_2	40	Left	23.89
Wendtii	No	Wendtii_pigment_2	50	Left	29.54
Wendtii	No	Wendtii_pigment_2	60	Left	24.19
Wendtii	No	Wendtii_pigment_2	70	Left	26.71
Wendtii	No	Wendtii_pigment_2	80	Left	27.2
Wendtii	No	Wendtii_pigment_2	90	Left	46.66
Wendtii	No	Wendtii_pigment_2	100	Left	24.43
Wendtii	No	Wendtii_pigment_2	110	Left	23.32
Wendtii	No	Wendtii_pigment_2	120	Left	21.4
Wendtii	No	Wendtii_pigment_2	130	Left	26.8
Wendtii	No	Wendtii_pigment_2	140	Left	25.7
Wendtii	No	Wendtii_pigment_2	150	Left	30.18
